"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"100","100","12045","12045","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","0","0","0","0","0","NA","NA","0","0","0","NA","NA","0","0","0","0","0","NA","0","0","0","0","0","0","NA","NA","Wed Aug 14 12:35:48 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_badSort_rahul.png","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-0.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","18959.0","NA","27796","5348","6084","NA","NA","18959","5131","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","131018","397","136372","NA","138922","NA","NA","93118","120918","87030","NA","NA","159184","401","136155","126324","NA","NA","138923","157883","138872","131023","126267","126324","NA","NA","RESUME ","1","24090.0","2","1920"
"100","100","10524","10524","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","1","0","1","0","1","NA","NA","0","0","0","NA","NA","1","0","1","1","1","NA","1","1","1","1","0","1","NA","NA","Wed Aug 14 12:35:48 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_badSort_viktor.png","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-0.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","16735.0","NA","27796","5348","6084","NA","NA","16735","1274","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","159487","397","160788","NA","163338","NA","NA","93118","120918","87030","NA","NA","181041","401","160763","159475","159192","NA","163339","180075","163288","159488","126267","159475","NA","NA","RESUME ","2","42099.0","4","1920"
"66","66","8958","8958","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","undefined","y","NA","2","0","2","0","2","NA","NA","0","0","0","NA","NA","2","0","2","2","2","NA","2","2","2","2","0","2","NA","NA","Wed Aug 14 12:35:48 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_hannah.png","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-0.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","10763.0","NA","27796","5348","6084","NA","NA","10763","886","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","181124","397","182042","NA","184598","NA","NA","93118","120918","87030","NA","NA","196061","401","182013","181115","181044","NA","184599","195363","184543","181125","126267","181115","NA","NA","RESUME ","2","53748.0","6","1920"
"75","75","8816","8816","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","3","0","3","0","3","NA","NA","0","0","0","NA","NA","3","0","3","3","3","NA","3","3","3","3","0","3","NA","NA","Wed Aug 14 12:35:48 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_goodSort_emilia.png","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-0.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","15955.0","NA","27796","5348","6084","NA","NA","15955","829","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","196140","397","197000","NA","199543","NA","NA","93118","120918","87030","NA","NA","216637","401","196971","196127","196063","NA","199543","215499","199500","196141","126267","196127","NA","NA","RESUME ","3","70532.0","8","1920"
"80","80","9025","9025","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","4","0","4","0","4","NA","NA","0","0","0","NA","NA","4","0","4","4","4","NA","4","4","4","4","0","4","NA","NA","Wed Aug 14 12:35:48 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_ goodSort_aisha.png","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-0.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","19140.0","NA","27796","5348","6084","NA","NA","19140","580","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","216718","397","217323","NA","219875","NA","NA","93118","120918","87030","NA","NA","240266","401","217299","216709","216640","NA","219878","239019","219823","216718","126267","216709","NA","NA","RESUME ","4","90252.0","10","1920"
"83","83","8715","8715","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","y","NA","5","0","5","0","5","NA","NA","0","0","0","NA","NA","5","0","5","5","5","NA","5","5","5","5","0","5","NA","NA","Wed Aug 14 12:35:48 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_david.png","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-0.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","space","13475.0","NA","27796","5348","6084","NA","NA","13475","857","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","240351","397","241235","NA","243780","NA","NA","93118","120918","87030","NA","NA","258130","401","241211","240342","240270","NA","243783","257259","243735","240353","126267","240342","NA","NA","RESUME ","5","104584.0","12","1920"
"85","85","8439","8439","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","6","0","6","0","6","NA","NA","0","0","0","NA","NA","6","0","6","6","6","NA","6","6","6","6","0","6","NA","NA","Wed Aug 14 12:35:48 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_lea.png","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-0.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","12846.0","NA","27796","5348","6084","NA","NA","12846","729","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","258222","397","258982","NA","261537","NA","NA","93118","120918","87030","NA","NA","275170","401","258955","258214","258133","NA","261540","274387","261483","258225","126267","258214","NA","NA","RESUME ","6","118159.0","14","1920"
"87","87","7798","7798","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","7","0","7","0","7","NA","NA","0","0","0","NA","NA","7","0","7","7","7","NA","7","7","7","7","0","7","NA","NA","Wed Aug 14 12:35:48 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_badSort_tian.png","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-0.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","5891.0","NA","27796","5348","6084","NA","NA","5891","728","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","275243","397","276007","NA","278558","NA","NA","93118","120918","87030","NA","NA","284820","401","275974","275234","275171","NA","278559","284451","278507","275243","126267","275234","NA","NA","RESUME ","7","124778.0","16","1920"
"88","88","7216","7216","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","8","0","8","0","8","NA","NA","0","0","0","NA","NA","8","0","8","8","8","NA","8","8","8","8","0","8","NA","NA","Wed Aug 14 12:35:48 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_leila.png","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-0.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","4483.0","NA","27796","5348","6084","NA","NA","4483","634","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","284896","397","285557","NA","288103","NA","NA","93118","120918","87030","NA","NA","292917","401","285531","284886","284821","NA","288103","292587","288057","284896","126267","284886","NA","NA","RESUME ","8","129895.0","18","1920"
"90","90","6807","6807","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","undefined","n","NA","9","0","9","0","9","NA","NA","0","0","0","NA","NA","9","0","9","9","9","NA","9","9","9","9","0","9","NA","NA","Wed Aug 14 12:35:48 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version2.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_kare.png","legacy","9","9","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-0.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","space","5379.0","NA","27796","5348","6084","NA","NA","5379","883","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","292998","397","293908","NA","296462","NA","NA","93118","120918","87030","NA","NA","302261","401","293883","292989","292919","NA","296463","301843","296408","292999","126267","292989","NA","NA","RESUME ","9","136157.0","20","1920"
