CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
26388	178.54019	6058044124982	0.55587	0.47749	178.23880	0.30139	697	1	0.55425	0.47771	1	0.55211	0.42862	1	0.55318	0.45316	1	0.39012	0.50901	18.48560	1.05768	1	0.64081	0.47850	19.15950	1.05768	1	-0.02838	-0.00348	0.67234	0.00404	1	0.03651	0.00285	0.67812	0.00382	1	0.46198	0.55000	0	
26389	178.54684	6058044191630	0.55581	0.47734	178.23880	0.30804	697	1	0.55335	0.48665	1	0.55350	0.45423	1	0.55342	0.47044	1	0.39027	0.50916	18.64347	1.04982	1	0.64085	0.47845	19.26908	1.04982	1	-0.02838	-0.00348	0.67234	0.00401	1	0.03651	0.00285	0.67812	0.00383	1	0.46198	0.55000	0	
26390	178.55351	6058044258175	0.55578	0.47728	178.23880	0.31471	697	1	0.55401	0.49221	1	0.55386	0.45740	1	0.55394	0.47480	1	0.39015	0.50908	18.65168	1.04196	1	0.64084	0.47844	19.31139	1.04196	1	-0.02838	-0.00348	0.67234	0.00398	1	0.03651	0.00285	0.67812	0.00383	1	0.46198	0.55000	0	
26391	178.56033	6058044326494	0.55681	0.47759	178.23880	0.32153	697	1	0.55401	0.49221	1	0.55386	0.45740	1	0.55394	0.47480	1	0.39033	0.50923	18.44260	1.04196	1	0.64079	0.47849	19.32310	1.04196	1	-0.02906	-0.00362	0.68955	0.00401	1	0.03613	0.00277	0.67116	0.00380	1	0.46198	0.55000	0	
26392	178.56693	6058044392414	0.55675	0.47750	178.23880	0.32812	697	1	0.55593	0.49276	1	0.55347	0.46151	1	0.55470	0.47713	1	0.39032	0.50924	18.30404	1.04982	1	0.64079	0.47854	19.26912	1.04982	1	-0.02906	-0.00362	0.68955	0.00401	1	0.03613	0.00277	0.67116	0.00378	1	0.46198	0.55000	0	START_TRIAL
26393	178.57352	6058044458284	0.55659	0.47682	178.23880	0.33472	697	1	0.55024	0.48669	1	0.55542	0.45256	1	0.55283	0.46962	1	0.39025	0.50932	18.53620	1.05768	1	0.64082	0.47835	18.93805	1.05768	1	-0.02906	-0.00362	0.68955	0.00397	1	0.03613	0.00277	0.67116	0.00384	1	0.46198	0.55000	0	
26394	178.58057	6058044528813	0.55644	0.47608	178.23880	0.34177	697	1	0.55024	0.48669	1	0.55542	0.45256	1	0.55283	0.46962	1	0.39031	0.50929	18.59182	1.05768	1	0.64075	0.47850	19.11187	1.05768	1	-0.02766	-0.00344	0.65530	0.00397	1	0.03651	0.00275	0.67812	0.00380	1	0.46198	0.55000	0	
26395	178.58711	6058044594272	0.55632	0.47604	178.23880	0.34831	697	1	0.54603	0.51092	1	0.55142	0.44466	1	0.54872	0.47779	1	0.39033	0.50921	18.56237	1.04982	1	0.64083	0.47845	19.01743	1.04982	1	-0.02766	-0.00344	0.65530	0.00399	1	0.03651	0.00275	0.67812	0.00382	1	0.46198	0.55000	0	
26396	178.59366	6058044659658	0.55593	0.47594	178.23880	0.35486	697	1	0.54963	0.50057	1	0.54168	0.43817	1	0.54565	0.46937	1	0.39032	0.50915	18.33026	1.04196	1	0.64074	0.47845	19.33807	1.04196	1	-0.02766	-0.00344	0.65530	0.00400	1	0.03651	0.00275	0.67812	0.00381	1	0.46198	0.55000	0	
26397	178.60069	6058044729996	0.55555	0.47586	178.23880	0.36189	697	1	0.54963	0.50057	1	0.54168	0.43817	1	0.54565	0.46937	1	0.39032	0.50912	18.20334	1.04196	1	0.64075	0.47846	19.33260	1.04196	1	-0.02865	-0.00356	0.67747	0.00406	1	0.03613	0.00277	0.67116	0.00380	1	0.46198	0.55000	0	
26398	178.60741	6058044797202	0.55533	0.47513	178.23880	0.36861	697	1	0.53893	0.49304	1	0.54424	0.44534	1	0.54158	0.46919	1	0.39006	0.50896	17.98821	1.04982	1	0.64068	0.47846	19.39389	1.04982	1	-0.02865	-0.00356	0.67747	0.00389	1	0.03613	0.00277	0.67116	0.00380	1	0.46198	0.55000	0	
26399	178.61397	6058044862781	0.55508	0.47420	178.23880	0.37517	697	1	0.53494	0.48522	1	0.54029	0.39596	1	0.53761	0.44059	1	0.39032	0.50922	18.46298	1.05768	1	0.64071	0.47844	19.28339	1.05768	1	-0.02865	-0.00356	0.67747	0.00397	1	0.03613	0.00277	0.67116	0.00384	1	0.46198	0.55000	0	
