"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_inline_script","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","key","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_inline_script","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"100","100","17982","17982","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","0","0","0","0","0","NA","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","NA","0","0","0","NA","0","0","NA","NA","Wed Aug 14 17:17:12 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_aisha.png","space","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-3/subject-3.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","17982.0","NA","16673","8380","1202","NA","NA","17982","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","89620","377","91964","NA","94519","NA","NA","60244","380","76921","59035","NA","89620","NA","112647","380","91902","85384","NA","NA","94519","112502","94464","NA","85302","85384","NA","NA","RESUME ","1","17982.0","1","1920"
"100","100","18424","18424","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","1","0","1","0","1","NA","NA","0","0","0","0","NA","1","NA","1","0","1","1","1","NA","1","1","1","NA","0","1","NA","NA","Wed Aug 14 17:17:12 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_badSort_david.png","space","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-3/subject-3.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","18867.0","NA","16673","8380","1202","NA","NA","18867","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","112806","377","114553","NA","117105","NA","NA","60244","380","76921","59035","NA","112806","NA","136056","380","114526","112796","112653","NA","117106","135974","117053","NA","85302","112796","NA","NA","RESUME ","2","36849.0","2","1920"
"100","100","22268","22268","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","2","0","2","0","2","NA","NA","0","0","0","0","NA","2","NA","2","0","2","2","2","NA","2","2","2","NA","0","2","NA","NA","Wed Aug 14 17:17:12 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_ goodSort_hannah.png","space","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-3/subject-3.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","29955.0","NA","16673","8380","1202","NA","NA","29955","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","136156","377","137255","NA","148777","NA","NA","60244","380","76921","59035","NA","136156","NA","178776","380","137230","136145","136058","NA","148778","178734","139755","NA","85302","136145","NA","NA","RESUME ","3","66804.0","3","1920"
"100","100","23735","23735","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","3","0","3","0","3","NA","NA","0","0","0","0","NA","3","NA","3","0","3","3","3","NA","3","3","3","NA","0","3","NA","NA","Wed Aug 14 17:17:12 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_viktor.png","space","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-3/subject-3.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","28138.0","NA","16673","8380","1202","NA","NA","28138","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","178872","377","180257","NA","182810","NA","NA","60244","380","76921","59035","NA","178872","NA","210990","380","180230","178864","178784","NA","182811","210949","182757","NA","85302","178864","NA","NA","RESUME ","4","94942.0","4","1920"
"100","100","23189","23189","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","4","0","4","0","4","NA","NA","0","0","0","0","NA","4","NA","4","0","4","4","4","NA","4","4","4","NA","0","4","NA","NA","Wed Aug 14 17:17:12 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_goodSort_emilia.png","space","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-3/subject-3.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","21003.0","NA","16673","8380","1202","NA","NA","21003","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","211075","377","212091","NA","216106","NA","NA","60244","380","76921","59035","NA","211076","NA","237158","380","212062","211067","210991","NA","216106","237110","214591","NA","85302","211067","NA","NA","RESUME ","5","115945.0","5","1920"
"100","100","22225","22225","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","5","0","5","0","5","NA","NA","0","0","0","0","NA","5","NA","5","0","5","5","5","NA","5","5","5","NA","0","5","NA","NA","Wed Aug 14 17:17:12 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_rahul.png","space","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-3/subject-3.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","17407.0","NA","16673","8380","1202","NA","NA","17407","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","237252","377","237983","NA","243293","NA","NA","60244","380","76921","59035","NA","237252","NA","260740","380","237958","237243","237160","NA","243294","260701","240483","NA","85302","237243","NA","NA","RESUME ","6","133352.0","6","1920"
"100","100","19667","19667","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","6","0","6","0","6","NA","NA","0","0","0","0","NA","6","NA","6","0","6","6","6","NA","6","6","6","NA","0","6","NA","NA","Wed Aug 14 17:17:12 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_leila.png","space","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-3/subject-3.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","4322.0","NA","16673","8380","1202","NA","NA","4322","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","260838","377","261583","NA","265882","NA","NA","60244","380","76921","59035","NA","260838","NA","270251","380","261559","260830","260752","NA","265883","270206","264083","NA","85302","260830","NA","NA","RESUME ","7","137674.0","7","1920"
"100","100","17761","17761","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","7","0","7","0","7","NA","NA","0","0","0","0","NA","7","NA","7","0","7","7","7","NA","7","7","7","NA","0","7","NA","NA","Wed Aug 14 17:17:12 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_kare.png","space","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-3/subject-3.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","4421.0","NA","16673","8380","1202","NA","NA","4421","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","270343","377","271927","NA","274484","NA","NA","60244","380","76921","59035","NA","270343","NA","278962","380","271902","270335","270265","NA","274496","278917","274427","NA","85302","270335","NA","NA","RESUME ","8","142095.0","8","1920"
"100","100","16205","16205","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","8","0","8","0","8","NA","NA","0","0","0","0","NA","8","NA","8","0","8","8","8","NA","8","8","8","NA","0","8","NA","NA","Wed Aug 14 17:17:12 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_hans.png","space","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-3/subject-3.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","3750.0","NA","16673","8380","1202","NA","NA","3750","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","279048","377","279943","NA","282494","NA","NA","60244","380","76921","59035","NA","279048","NA","286284","380","279917","279040","278964","NA","282495","286245","282443","NA","85302","279040","NA","NA","RESUME ","9","145845.0","9","1920"
"100","100","14781","14781","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","9","0","9","0","9","NA","NA","0","0","0","0","NA","9","NA","9","0","9","9","9","NA","9","9","9","NA","0","9","NA","NA","Wed Aug 14 17:17:12 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_ badSort_maria.png","space","legacy","9","9","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-3/subject-3.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","1965.0","NA","16673","8380","1202","NA","NA","1965","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","286365","377","287817","NA","290367","NA","NA","60244","380","76921","59035","NA","286365","NA","292386","380","287791","286357","286288","NA","290368","292333","290317","NA","85302","286357","NA","NA","RESUME ","10","147810.0","10","1920"
